inj	out_1kev_400	out_2kev_400	out_3kev_400	out_1kev_50	out_2kev_50	out_3kev_50
0.774	0.46644	0.35612	0.3123	0.24509	0.21005	0.19101
0.776	0.46522	0.35514	0.31359	0.24477	0.20812	0.19208
0.778	0.46679	0.35736	0.31536	0.24505	0.2111	0.19125
0.78	0.46743	0.35587	0.31504	0.24472	0.21021	0.19372
0.782	0.46658	0.35913	0.31333	0.24261	0.2107	0.19112
0.784	0.4696	0.35799	0.31504	0.24604	0.21081	0.19118
0.786	0.4706	0.35991	0.31526	0.24501	0.21263	0.19088
0.788	0.47115	0.35772	0.31605	0.24336	0.21177	0.19173
0.79	0.47059	0.35952	0.31521	0.24626	0.21184	0.19475
0.792	0.47346	0.36139	0.31701	0.24477	0.212	0.19253
0.794	0.47099	0.35903	0.31657	0.24614	0.21148	0.19372
0.796	0.47445	0.36031	0.31841	0.24551	0.21214	0.19276
0.798	0.47362	0.36069	0.3175	0.24659	0.20879	0.1922
0.8	0.47218	0.3593	0.31837	0.24636	0.21224	0.19392
0.802	0.47301	0.36217	0.31816	0.24623	0.21229	0.1957
0.804	0.47518	0.36194	0.31939	0.24483	0.21156	0.19439
0.806	0.4755	0.36188	0.31841	0.2484	0.2121	0.19301
0.808	0.47406	0.36325	0.31665	0.24863	0.21304	0.1941
0.81	0.47698	0.36281	0.32038	0.24837	0.21308	0.19573
0.812	0.47779	0.36376	0.31813	0.24675	0.2129	0.1943
