Inj	tm40	tm30	tm20	tm10	t0	t10	t20	t30	t40	t50	t60	t70
0.02363573	0.21083	0.20412	0.19815	0.1908	0.18543	0.18081	0.17534	0.16869	0.16542	0.15314	0.14929	0.14227
0.02406431	0.21265	0.20452	0.19844	0.1941	0.18579	0.18196	0.17651	0.17039	0.16599	0.15439	0.14936	0.1434
0.02450066	0.21311	0.20551	0.19946	0.195	0.18575	0.18262	0.17732	0.17301	0.16592	0.15607	0.15058	0.14268
0.02494492	0.21391	0.20701	0.20135	0.19348	0.18856	0.18435	0.17853	0.17062	0.16655	0.15626	0.15063	0.14385
0.02539724	0.2159	0.208	0.20202	0.19641	0.19005	0.18467	0.17861	0.17311	0.16679	0.1572	0.1544	0.14283
0.02585776	0.21776	0.20836	0.20351	0.19752	0.19077	0.18486	0.17887	0.17413	0.16838	0.15735	0.15253	0.14696
0.02632663	0.2178	0.21083	0.20364	0.19835	0.1907	0.18819	0.18086	0.17492	0.1682	0.15787	0.15519	0.1475
0.026804	0.21855	0.21228	0.20642	0.19884	0.19293	0.18883	0.18145	0.17501	0.16956	0.15974	0.15461	0.14757
0.02729003	0.21776	0.21537	0.20843	0.19947	0.19387	0.1886	0.18335	0.17636	0.1706	0.16082	0.15631	0.14893
0.02778487	0.22313	0.21403	0.20667	0.20017	0.19488	0.18908	0.18423	0.17734	0.17117	0.16218	0.15774	0.14984
0.02828868	0.22161	0.21216	0.20915	0.20141	0.19557	0.19013	0.18306	0.17735	0.17235	0.16233	0.15851	0.15046
0.02880163	0.22126	0.21414	0.198	0.20371	0.1956	0.19169	0.18535	0.17821	0.17351	0.16446	0.15854	0.15208
0.02932388	0.22281	0.21613	0.20985	0.2024	0.19698	0.19252	0.18707	0.1804	0.17359	0.16383	0.16027	0.15375
0.0298556	0.22381	0.21536	0.21136	0.20424	0.19771	0.19278	0.1865	0.18062	0.17554	0.16548	0.16047	0.15348
0.03039696	0.22642	0.21697	0.21231	0.20504	0.19753	0.19605	0.18698	0.18038	0.17429	0.16575	0.16166	0.15432
0.03094814	0.22706	0.21846	0.21136	0.20666	0.20068	0.19469	0.18846	0.18198	0.17618	0.16674	0.16173	0.15571
0.03150931	0.22621	0.21955	0.21222	0.20922	0.20255	0.19672	0.19007	0.18243	0.17574	0.16744	0.16386	0.15454
0.03208066	0.22634	0.21901	0.21363	0.20695	0.20118	0.19613	0.18936	0.18152	0.17667	0.16698	0.16343	0.15542
0.03266237	0.22862	0.22284	0.21454	0.20969	0.20262	0.19963	0.19199	0.18383	0.17899	0.16904	0.16494	0.15918
0.03325462	0.23012	0.22351	0.2167	0.21067	0.20205	0.19816	0.19103	0.18508	0.17896	0.17053	0.16475	0.15778
0.03385762	0.23069	0.22373	0.21649	0.21281	0.20456	0.20045	0.19321	0.18636	0.18004	0.17304	0.16617	0.15897
0.03447155	0.23355	0.2256	0.21853	0.21214	0.20656	0.19993	0.19374	0.1886	0.18056	0.17262	0.16661	0.15996
0.03509661	0.23193	0.22404	0.21988	0.21235	0.20671	0.19989	0.19503	0.18646	0.18205	0.17329	0.16869	0.15999
0.035733	0.23277	0.22738	0.22048	0.21212	0.208	0.20315	0.19506	0.1864	0.18298	0.17295	0.17047	0.16211
0.03638094	0.23481	0.22812	0.22118	0.21491	0.20829	0.20311	0.19596	0.18967	0.18259	0.17386	0.17035	0.16223
0.03704062	0.23474	0.22947	0.22178	0.21488	0.20951	0.20351	0.19759	0.18952	0.18404	0.17487	0.17257	0.16402
0.03771226	0.23515	0.22855	0.22321	0.21793	0.21011	0.20477	0.19806	0.18923	0.18431	0.17518	0.17439	0.16496
0.03839609	0.23699	0.22881	0.21503	0.21649	0.20891	0.2057	0.19883	0.19009	0.18559	0.17604	0.17373	0.16565
0.03909231	0.23941	0.23065	0.22394	0.2173	0.21098	0.20626	0.20031	0.19233	0.18547	0.17758	0.17336	0.16482
0.03980116	0.23886	0.23086	0.22552	0.21715	0.21308	0.20751	0.20261	0.19236	0.18658	0.17813	0.17469	0.16825
0.04052286	0.23949	0.23208	0.22761	0.219	0.2129	0.20843	0.20256	0.19387	0.18833	0.17705	0.17465	0.16623
